,user_id,country_cd,gender,nationality,platform_type_name,trading_experience,title,network,bux_account_created_dts,account_type,ams_first_funded_dts,initial_deposit_amount,sum_deposits,cnt_deposits
0,06090701-f78c-4efc-85c7-352290c300cf,DE,MALE,DE,iOS,SOME,Experienced Trader,Organic,2018-01-11 14:05:31.848,FUN_BUX,,,,
1,bda10bf8-b541-46e3-8787-b518b09cf526,NL,,,Android,SOME,Experienced Trader,Organic,2018-01-03 11:58:59.881,FUN_BUX,,,,
2,062a3cd0-f020-481f-8529-2a4dfc658a03,NL,MALE,NL,iOS,NONE,Rookie Trader,Organic,2018-01-11 11:04:28.772,FUN_BUX,,,,
3,000a15ab-2dcc-4e19-b984-ae283be2780f,AT,,,Android,NONE,Rookie Trader,Viral Invites,2018-01-15 19:03:14.905,FUN_BUX,,,,
4,0016c30f-8b9f-490f-8d07-a7f6b1494232,AT,MALE,AT,Android,SOME,Experienced Trader,Facebook Installs,2018-01-31 13:52:51.821,FUN_BUX,,,,
5,0055bf4c-49ec-4823-8121-bcde563afc84,AT,,,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-28 22:43:00.531,FUN_BUX,,,,
6,00633c9f-e098-4d4c-b4d5-e8cc67216189,AT,MALE,AT,Android,SOME,Experienced Trader,BUX Website,2018-01-27 07:56:22.046,SERIOUS_BUX,2018-01-27 08:51:59.000,50.0000000,100.0000000,2.0
7,0076ca9b-c7f2-433e-a957-9d6bab0c4730,AT,MALE,AT,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-04 22:08:17.837,FUN_BUX,,,,
8,007ceda2-e2e9-45f9-8e49-ef892ec0b161,AT,,,Android,NONE,Rookie Trader,BUX Website,2018-01-11 22:06:54.098,FUN_BUX,,,,
9,00f088b8-757c-4641-bf6f-f50caf1e3aa5,AT,MALE,AT,Android,SOME,Experienced Trader,Organic,2018-01-23 18:48:58.934,FUN_BUX,,,,
10,01a7559e-cc9c-4bfa-b0b9-aab50c393aac,AT,,,Android,SOME,Experienced Trader,E-Mail Marketing,2018-01-23 13:51:42.314,FUN_BUX,,,,
11,01c31370-805b-4eab-b9d4-8fbd3e9d3674,AT,FEMALE,AT,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-11 18:58:13.819,FUN_BUX,,,,
12,01d4974c-c8bf-49c8-9cc6-40d084780ae0,AT,,,Android,SOME,Experienced Trader,Facebook Installs,2018-01-09 19:07:13.072,FUN_BUX,,,,
13,0235b044-be63-4796-8d18-534e61d7c71f,AT,MALE,AT,Android,SOME,Experienced Trader,Organic,2018-01-16 23:35:15.615,SERIOUS_BUX,2018-01-20 14:02:53.000,50.0000000,50.0000000,1.0
14,02680041-92af-4ab3-88e0-7b7f80850b1e,AT,MALE,AT,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-06 07:43:44.874,FUN_BUX,,,,
15,02bfc22a-d9e2-4c4e-9a0d-3b0e01a2a9cd,AT,,,Android,SOME,Experienced Trader,Facebook Installs,2018-01-10 22:12:00.647,FUN_BUX,,,,
16,02d34d50-9641-4336-bda6-1bea7bbafa4d,AT,MALE,AT,Android,SOME,Experienced Trader,Organic,2018-01-19 21:25:18.470,FUN_BUX,,,,
17,02e522e0-5ba0-4975-8dfb-7292810c9904,AT,MALE,AT,Android,SOME,Experienced Trader,Adwords UAC Installs,2018-01-03 15:42:26.734,FUN_BUX,2018-01-23 13:51:09.000,50.0000000,100.0000000,2.0
18,02e6f111-7206-4f1c-a0a7-ed52bc5c905f,AT,,,Android,NONE,Rookie Trader,Facebook Installs,2018-01-15 11:41:59.689,FUN_BUX,,,,
19,02f012c9-d4d1-4cd1-9a01-680a66e70c0c,AT,,,Android,SOME,Experienced Trader,Organic,2018-01-09 08:10:36.113,FUN_BUX,,,,
20,03067b04-080a-438e-bafa-e3cd67d6cd92,AT,MALE,AT,Android,NONE,Rookie Trader,Facebook Installs,2018-01-02 16:17:27.729,FUN_BUX,,,,
21,0404020b-bb18-4b6d-baab-21f2b4e8bf85,AT,,,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-03 01:34:22.940,FUN_BUX,,,,
22,042b152e-a2d6-487c-adbd-03f9e6c853c5,AT,,,Android,NONE,Rookie Trader,Facebook Installs,2018-01-20 17:15:21.690,FUN_BUX,,,,
23,044197a7-1382-4a42-bf2c-5d56e5cd7c59,AT,,,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-26 23:09:48.484,FUN_BUX,,,,
24,044e2947-db34-46ab-b1f6-648f38ceee2f,AT,,,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-01 20:03:51.610,FUN_BUX,,,,
25,046e4052-5afb-40a4-b0fc-25a5f1f933db,AT,MALE,AT,Android,NONE,Rookie Trader,Organic,2018-01-15 07:07:01.979,FUN_BUX,2018-01-31 05:44:51.000,50.0000000,100.0000000,2.0
26,04dd977f-56fe-419d-b088-92448c3df4dd,AT,,,Android,NONE,Rookie Trader,Instagram Installs,2018-01-23 21:33:53.254,FUN_BUX,,,,
27,04e947f5-e2c9-49da-8939-a57d8efb36f7,AT,MALE,AT,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-09 07:11:31.709,FUN_BUX,,,,
28,05a0b42d-2453-4d74-b860-3ceb16ff70ea,AT,,,Android,NONE,Rookie Trader,Facebook Installs,2018-01-20 17:17:57.924,FUN_BUX,,,,
29,05b11685-d33e-43a1-b402-8486c996df23,AT,,,Android,NONE,Rookie Trader,Facebook Installs,2018-01-13 05:40:37.110,FUN_BUX,,,,
30,05bf2775-7e70-4e67-a055-f046d272151e,AT,,,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-16 21:17:07.757,FUN_BUX,,,,
31,05c5a7e2-4bbb-49f9-9865-608d8ad39195,AT,,,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-05 20:27:47.463,FUN_BUX,,,,
32,064da812-bb34-4341-9b78-1bdd99c03330,AT,MALE,AT,Android,NONE,Rookie Trader,Facebook Installs,2018-01-16 16:29:19.247,FUN_BUX,,,,
33,06816dd5-4ffc-471c-aa35-467cc8e524d7,AT,,,Android,SOME,Experienced Trader,Adwords UAC Installs,2018-01-25 12:04:41.736,FUN_BUX,,,,
34,06932c7c-7a84-4c6d-8cd5-55eb9948081a,AT,,,Android,NONE,Rookie Trader,Facebook Installs,2018-01-11 15:08:12.203,FUN_BUX,,,,
35,074f0e81-fbba-40a5-bdb6-4f3554d99b85,AT,,,Android,NONE,Rookie Trader,Organic,2018-01-29 19:31:58.990,FUN_BUX,,,,
36,075f2d7f-3c3c-46eb-a80a-e91f1f018a1d,AT,,,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-21 14:40:27.677,FUN_BUX,,,,
37,07790b73-f294-4fc0-ac6f-70658780b3cf,AT,,,Android,SOME,Experienced Trader,Iconpeak,2018-01-26 14:42:43.791,FUN_BUX,,,,
38,084f1ecc-2f68-498e-95f3-6354ca46a453,AT,,,Android,NONE,Rookie Trader,Organic,2018-01-22 11:58:17.335,FUN_BUX,,,,
39,08931162-549b-4b75-b8ab-eb757862518b,AT,,,Android,NONE,Rookie Trader,Adwords UAC Installs,2018-01-25 20:55:03.773,FUN_BUX,,,,
40,089d86ab-1f73-48cd-b6ae-137dcf6bfa95,AT,,,Android,NONE,Rookie Trader,Organic,2018-01-29 20:06:23.948,FUN_BUX,,,,
